	id	videoID	feature	duration	label
20	24	8d7eFVTLlbU	"[[-0.00946465 -0.00909571 -0.00528604 ... -0.00056071 -0.03628201
   0.01055187]
 [-0.01002634 -0.01047689 -0.00426938 ... -0.00364883 -0.03894074
   0.01136176]
 [-0.00966672 -0.01056819 -0.00365081 ... -0.00606366 -0.03508753
   0.01186362]
 ...
 [-0.00037478 -0.01847875 -0.0097703  ...  0.00741252  0.02151036
   0.00680574]
 [ 0.00176819 -0.00990987 -0.00477421 ...  0.01690453  0.0067251
   0.00859941]
 [ 0.00411186 -0.01692939 -0.00534342 ...  0.01807221  0.0139552
   0.01100726]]"	49.7831	-1
21	25	8d7eFVTLlbU	"[[-0.03188817 -0.00205121 -0.00309732 ...  0.01409234 -0.04161425
  -0.00261263]
 [-0.03179446 -0.00972623  0.00195307 ...  0.01736986 -0.04412537
   0.00157508]
 [-0.03368594 -0.00691694 -0.00038195 ...  0.01907843 -0.04284684
  -0.00195735]
 ...
 [-0.0356272  -0.0218517   0.00124917 ...  0.01352398 -0.03284159
   0.00275914]
 [-0.01967156 -0.01619469 -0.00656053 ...  0.01989418 -0.02829199
   0.00516521]
 [-0.03189915 -0.03267643  0.01339262 ...  0.01271362 -0.00832278
   0.00868265]]"	43.5769	-1
22	26	8d7eFVTLlbU	"[[ 0.00395017 -0.00859625 -0.00468331 ... -0.01635878  0.02808665
   0.00676746]
 [ 0.00541963 -0.00642266 -0.00515162 ... -0.01760928  0.02706895
   0.00950731]
 [ 0.00567071 -0.00950342 -0.00335708 ... -0.01620872  0.02702601
   0.0083553 ]
 ...
 [ 0.00877037 -0.01784329  0.0009636  ... -0.01276071  0.03843159
   0.00221733]
 [ 0.00777468 -0.01247098  0.00856349 ... -0.00833895  0.03587266
  -0.00076671]
 [-0.00695327 -0.02551523 -0.0008604  ... -0.00614406  0.00467691
   0.00459146]]"	59.2926	-1
23	27	8d7eFVTLlbU	"[[-0.00376276  0.00045767  0.00220622 ... -0.01483458  0.05929824
   0.00479747]
 [-0.00474624  0.00052565  0.00092786 ... -0.01310741  0.05066748
   0.0053825 ]
 [-0.00410292 -0.00059653 -0.0026585  ... -0.01503129  0.0362552
   0.00568767]
 ...
 [-0.00683343 -0.01445861 -0.00890573 ... -0.01415941 -0.0091492
   0.00648926]
 [-0.01308323 -0.0131546  -0.01129277 ... -0.01921713 -0.00937534
   0.00489429]
 [-0.01238547 -0.0077598  -0.00563404 ... -0.01411068  0.00052978
   0.00771753]]"	101.034	-1
24	28	8d7eFVTLlbU	"[[-0.00574944 -0.02748282 -0.00114848 ...  0.00168666 -0.01388727
   0.0168761 ]
 [-0.00736231 -0.02791791  0.00311423 ...  0.00139912 -0.0193863
   0.01930785]
 [-0.00617548 -0.02890447 -0.00084614 ...  0.00665622 -0.01549689
   0.01782595]
 ...
 [-0.01328413 -0.03403807  0.00885156 ...  0.00175994  0.00826379
   0.02228595]
 [-0.00678872 -0.03176832  0.0060108  ...  0.00302091 -0.01946014
   0.01777304]
 [-0.01002376 -0.03284602  0.00566933 ... -0.00473133 -0.00539385
   0.02312845]]"	65.2986	-1
25	29	8d7eFVTLlbU	"[[-0.02344619 -0.00812788 -0.00862809 ...  0.00454533 -0.00692813
   0.00630945]
 [-0.02420957 -0.0114763  -0.00449448 ...  0.00763629 -0.0109544
   0.00521806]
 [-0.02107217 -0.00629634 -0.00220349 ...  0.00924538 -0.00049666
   0.00295536]
 ...
 [-0.02395467 -0.01450692 -0.00464622 ...  0.01069498 -0.00648805
   0.00600426]
 [-0.01738708 -0.00139136 -0.00326513 ...  0.00727844  0.0032964
   0.00665526]
 [-0.02420445 -0.01169057  0.00043297 ...  0.00365853 -0.00827095
   0.01034356]]"	49.7497	-1
26	31	8d7eFVTLlbU	"[[-0.00916943 -0.0188506  -0.00434118 ...  0.00809755 -0.05561896
   0.00918871]
 [-0.00742028 -0.02099253 -0.00355635 ...  0.00223225 -0.06582214
   0.00981244]
 [-0.01181302 -0.01732566 -0.00195312 ...  0.00889539 -0.05221557
   0.00761208]
 ...
 [-0.01086545 -0.02339136 -0.00496164 ...  0.01490349 -0.06225204
   0.0019926 ]
 [-0.00758137 -0.01466141 -0.00043494 ...  0.00398242 -0.06229107
   0.00076703]
 [-0.00047931 -0.0133941   0.00244131 ... -0.01659334 -0.06705489
  -0.00145614]]"	82.5491	-1
27	32	bsoRbUiTd0A	"[[-0.01980992 -0.01736817 -0.02189171 ... -0.0057024  -0.05254233
   0.00540033]
 [-0.00815916 -0.01646305 -0.01991672 ... -0.0004047   0.0039423
   0.0079313 ]
 [-0.01449647 -0.01254838 -0.02588141 ... -0.00066953 -0.0560311
   0.00415375]
 ...
 [-0.02383189 -0.01316718 -0.01717455 ...  0.01496315 -0.03792956
   0.00129608]
 [-0.00425453 -0.01037625 -0.01173    ... -0.00742947 -0.01938214
   0.00439993]
 [-0.01953842 -0.01200873 -0.01765656 ... -0.00997635 -0.00095001
   0.00371002]]"	260.293	-1
28	34	AtiSFub9C6s	"[[-0.02409071 -0.01800901 -0.00563851 ... -0.00062514 -0.02301793
  -0.00075885]
 [-0.02072917 -0.00894906 -0.02214229 ...  0.01040056  0.01251701
   0.00848762]
 [-0.03250983 -0.01143072 -0.01546052 ...  0.00424079  0.00018358
   0.00368572]
 ...
 [-0.03316985 -0.00195542 -0.00853997 ...  0.00662119 -0.03102399
   0.01612248]
 [-0.02316728  0.011391   -0.0185256  ...  0.02699709  0.0191399
   0.01332686]
 [-0.0295748  -0.01033586 -0.01142803 ...  0.00787267  0.04361572
   0.00711786]]"	134.234	-1
29	35	AtiSFub9C6s	"[[-0.03225788 -0.00905975 -0.01743504 ... -0.00033036 -0.00548862
   0.00659287]
 [-0.02762322 -0.00345807 -0.0202196  ...  0.00674217  0.02938043
   0.00985259]
 [-0.02729766 -0.00612436 -0.02657656 ...  0.00885114  0.00635213
   0.00620073]
 ...
 [-0.03405541 -0.00200225  0.00138724 ... -0.00312922 -0.05231758
  -0.00708244]
 [-0.03688979 -0.00708071 -0.01177323 ...  0.00372433 -0.06623641
   0.01366742]
 [-0.02996202 -0.00451589  0.00546427 ...  0.00427155  0.02947678
  -0.00024432]]"	291.458	-1
